                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.0125,                0.81189,                0.81345,                0.49108,                0.52819,                0.35789,                0.21487,                0.85777,                 1.5434,                 0.5457,               0.005446,               0.005446,               0.005446
                     48,                0.98961,                0.79708,                0.81632,                0.49445,                0.55789,                0.38468,                0.24279,                 0.8838,                 1.6025,                0.54667,               0.005347,               0.005347,               0.005347
                     49,                0.97432,                0.80533,                0.81533,                 0.5386,                0.54035,                0.41112,                0.25957,                0.86276,                 1.6618,                0.54358,               0.005248,               0.005248,               0.005248
                     50,                0.99416,                0.80688,                0.81619,                0.53264,                0.55185,                0.43147,                0.28897,                0.90409,                 1.7019,                0.54347,               0.005149,               0.005149,               0.005149
                     51,                0.98929,                0.78875,                0.81317,                0.51991,                0.53198,                0.42862,                0.29047,                0.89042,                 1.6798,                0.54661,                0.00505,                0.00505,                0.00505
                     52,                0.97232,                 0.7929,                0.80849,                 0.5394,                0.55789,                0.44601,                0.29887,                0.90815,                 1.6476,                0.54868,               0.004951,               0.004951,               0.004951
                     53,                0.95098,                 0.7877,                0.80329,                0.53762,                0.54261,                0.41604,                0.24958,                0.94814,                  1.699,                 0.5484,               0.004852,               0.004852,               0.004852
                     54,                0.98056,                0.77674,                0.81727,                0.55779,                 0.5614,                0.45675,                0.29503,                0.92267,                  1.638,                0.54723,               0.004753,               0.004753,               0.004753
                     55,                0.96054,                0.78926,                0.81231,                0.55871,                0.55974,                0.46407,                0.30342,                0.88319,                 1.5628,                0.54632,               0.004654,               0.004654,               0.004654
                     56,                0.95048,                0.79265,                0.80763,                0.57688,                0.59649,                0.51793,                0.35138,                0.87524,                  1.617,                0.54621,               0.004555,               0.004555,               0.004555
                     57,                 0.9593,                0.79357,                 0.8117,                0.52479,                0.59649,                0.47803,                0.32274,                0.86684,                 1.5537,                 0.5432,               0.004456,               0.004456,               0.004456
                     58,                 0.9429,                0.76879,                0.80411,                0.56732,                0.58596,                0.50202,                0.33892,                0.86871,                  1.554,                0.54471,               0.004357,               0.004357,               0.004357
                     59,                0.95278,                0.77461,                0.80688,                0.56621,                 0.6137,                0.50258,                0.34386,                0.82933,                 1.5298,                0.54134,               0.004258,               0.004258,               0.004258
                     60,                0.94292,                0.78435,                0.80461,                0.56239,                0.59649,                0.46822,                 0.3188,                  0.849,                 1.5225,                0.54119,               0.004159,               0.004159,               0.004159
                     61,                0.93049,                0.77495,                0.80145,                0.53779,                0.55088,                0.40051,                0.26952,                0.85093,                 1.4885,                0.54485,                0.00406,                0.00406,                0.00406
                     62,                0.92191,                0.79257,                0.81164,                0.56106,                0.56062,                0.45316,                0.31388,                0.85652,                 1.4963,                0.54294,               0.003961,               0.003961,               0.003961
                     63,                0.92461,                0.76188,                0.80161,                0.59983,                0.57544,                0.55788,                0.40983,                0.83276,                 1.5408,                0.54281,               0.003862,               0.003862,               0.003862
                     64,                0.90108,                0.77505,                0.80322,                0.58966,                0.60351,                 0.5327,                 0.3723,                0.82659,                  1.541,                0.54298,               0.003763,               0.003763,               0.003763
                     65,                0.92089,                0.78222,                 0.8101,                0.58373,                    0.6,                 0.5253,                0.37322,                0.83746,                 1.5606,                 0.5406,               0.003664,               0.003664,               0.003664
                     66,                0.91481,                0.78121,                0.80085,                0.55921,                    0.6,                0.47183,                0.32043,                0.84445,                 1.5707,                0.54126,               0.003565,               0.003565,               0.003565
                     67,                0.89878,                0.77208,                0.80677,                0.56481,                0.58246,                0.50405,                0.34241,                0.89302,                 1.6077,                 0.5428,               0.003466,               0.003466,               0.003466
                     68,                0.90039,                0.78919,                0.81227,                0.58085,                0.61266,                0.54712,                0.37991,                0.87146,                 1.5829,                0.54225,               0.003367,               0.003367,               0.003367
                     69,                0.90335,                0.76953,                0.80818,                0.56607,                0.60702,                0.48649,                0.33838,                 0.8374,                 1.5731,                0.54068,               0.003268,               0.003268,               0.003268
                     70,                0.89009,                0.77693,                0.81025,                 0.5343,                0.54737,                0.41322,                0.28632,                0.80888,                  1.537,                0.54054,               0.003169,               0.003169,               0.003169
                     71,                0.88164,                0.77591,                0.80178,                0.51607,                0.52632,                0.33617,                0.21811,                0.84834,                  1.563,                0.54023,                0.00307,                0.00307,                0.00307
                     72,                0.87594,                0.78311,                0.80288,                0.54728,                0.56491,                 0.4186,                0.28154,                0.82143,                 1.5424,                0.53974,               0.002971,               0.002971,               0.002971
                     73,                0.88099,                0.76852,                0.79943,                0.56535,                0.59298,                0.49349,                0.35334,                 0.8076,                 1.5258,                0.53826,               0.002872,               0.002872,               0.002872
                     74,                0.86613,                0.76061,                0.79701,                 0.5583,                0.56325,                0.44799,                0.31662,                0.82864,                 1.5271,                0.53915,               0.002773,               0.002773,               0.002773
                     75,                0.87832,                0.75325,                0.79836,                0.56058,                0.58246,                0.44956,                0.32276,                0.81933,                  1.526,                0.53964,               0.002674,               0.002674,               0.002674
                     76,                0.86613,                0.78554,                0.80058,                0.57599,                0.58246,                0.47206,                0.34786,                 0.8108,                 1.5078,                 0.5382,               0.002575,               0.002575,               0.002575
                     77,                0.84352,                0.76607,                0.80144,                0.56635,                0.60702,                0.48856,                0.35394,                0.84137,                 1.5337,                0.54019,               0.002476,               0.002476,               0.002476
                     78,                0.87627,                0.76672,                0.80248,                0.57042,                0.57895,                0.48586,                0.35371,                0.82734,                  1.573,                0.54044,               0.002377,               0.002377,               0.002377
                     79,                0.86862,                0.77988,                0.80438,                 0.5799,                0.61027,                0.51664,                0.37614,                0.80698,                 1.5576,                0.53801,               0.002278,               0.002278,               0.002278
                     80,                 0.8503,                0.75179,                0.80168,                0.54693,                0.58246,                0.48443,                0.34622,                 0.7936,                 1.5653,                0.53895,               0.002179,               0.002179,               0.002179
                     81,                0.83828,                0.77277,                0.79104,                0.54535,                0.55789,                0.44475,                0.31775,                0.80044,                 1.5643,                0.53858,                0.00208,                0.00208,                0.00208
                     82,                0.84854,                0.75674,                0.80136,                 0.6006,                0.60702,                0.52542,                0.37399,                0.80574,                  1.538,                 0.5394,               0.001981,               0.001981,               0.001981
                     83,                0.80996,                0.76395,                 0.7941,                0.61249,                0.63509,                0.61116,                0.43226,                0.80353,                 1.5456,                0.53861,               0.001882,               0.001882,               0.001882
                     84,                0.87165,                0.76453,                0.79957,                0.58511,                0.60866,                0.51717,                0.37523,                0.77792,                 1.5219,                0.53795,               0.001783,               0.001783,               0.001783
                     85,                0.83098,                0.74975,                0.79884,                0.55667,                0.60351,                0.48907,                0.36269,                0.78018,                 1.5373,                0.53919,               0.001684,               0.001684,               0.001684
